k,z,c,l
2.707927395287321737e+00,9.461266513554432711e-01,9.555609653609319354e-01,8.787203789294029121e-01
2.689896235646215938e+00,9.503275817516706470e-01,9.547286948788691330e-01,8.799195006928152152e-01
4.793877551020408134e+00,8.571428571428572063e-01,1.213462109594194427e+00,8.219535749859836482e-01
4.374372715351773522e+00,8.677786351804350762e-01,1.163162399889350773e+00,8.309885970058106253e-01
4.031765173405410962e+00,8.776800711509842312e-01,1.121085012627854649e+00,8.389394767736512160e-01
3.752439366087703565e+00,8.868891426600740147e-01,1.086140144475167046e+00,8.458854028220179622e-01
3.525181693836039187e+00,8.954468050060073736e-01,1.057352738000431502e+00,8.519129230863136115e-01
3.340772799919712099e+00,9.033927646069218609e-01,1.033854631884320918e+00,8.571118943439178794e-01
3.191639914458892058e+00,9.107653074860656561e-01,1.014876894733006241e+00,8.615720002952441670e-01
3.071563860444123772e+00,9.176011748472027163e-01,9.997421622645068506e-01,8.653800062315822883e-01
2.975434792487924529e+00,9.239354785438337325e-01,9.878569362546841814e-01,8.686177900173546185e-01
2.899050496711913283e+00,9.298016500123310601e-01,9.787038979147358875e-01,8.713610950914837394e-01
2.838951154091537532e+00,9.352314169786714038e-01,9.718343386141402584e-01,8.736788962793110569e-01
2.792284817586832446e+00,9.402548029467516777e-01,9.668608253073380787e-01,8.756332480512939442e-01
2.756698396082973179e+00,9.449001451242959870e-01,9.634502079781974704e-01,8.772794875948048965e-01
2.730249588254610060e+00,9.491941270353123628e-01,9.613170527027649070e-01,8.786666816230509491e-01
2.711335891091502859e+00,9.531618226042151143e-01,9.602175550304495877e-01,8.798382282609276128e-01
4.793877551020408134e+00,8.653061224489796421e-01,1.219350920724515008e+00,8.235982682579884306e-01
4.381877026606892045e+00,8.753791422874152017e-01,1.169543777756764324e+00,8.323499901901652009e-01
4.044908372639041794e+00,8.847498524537041886e-01,1.127823519274526953e+00,8.400509304091973162e-01
3.769736295669380510e+00,8.934594753167661718e-01,1.093116501936528762e+00,8.467791979054061224e-01
3.545455810046237666e+00,9.015480331725295171e-01,1.064463248902647097e+00,8.526194636929658177e-01
3.363095963470108085e+00,9.090541643290207530e-01,1.041010413823686642e+00,8.576591387492964458e-01
3.215282586579691237e+00,9.160149881153413221e-01,1.022002937961020486e+00,8.619851190532078489e-01
3.095954479184895636e+00,9.224660114333530503e-01,1.006776245841237261e+00,8.656812400524881435e-01
3.000127022600935334e+00,9.284410702408397720e-01,9.947484513986050159e-01,8.688264661212923290e-01
2.923697062472736974e+00,9.339723001024544669e-01,9.854126304152960314e-01,8.714937567039001687e-01
2.863283054031273700e+00,9.390901306539236604e-01,9.783292579218926255e-01,8.737495030703291699e-01
2.816094855287645693e+00,9.438232994855931812e-01,9.731189194982561297e-01,8.756534123333949982e-01
2.779828116211396249e+00,9.481988815577588881e-01,9.694553938726835352e-01,8.772587193570019481e-01
2.752578862151203509e+00,9.522423308099771111e-01,9.670591808433743886e-01,8.786126232867078611e-01
2.732774538655233787e+00,9.559775311197503678e-01,9.656915210265099025e-01,8.797568665229631435e-01
4.793877551020408134e+00,8.734693877551020780e-01,1.225231429865907717e+00,8.252253001155089862e-01
4.389401927935149494e+00,8.829739152382606315e-01,1.175922314309761019e+00,8.336959575347751006e-01
4.058086592305995666e+00,8.918093964985968070e-01,1.134562043370360485e+00,8.411492572620381525e-01
3.787077910639823575e+00,9.000161041955374586e-01,1.100093853064078253e+00,8.476620851317295813e-01
3.565780368938977762e+00,9.076329588131777371e-01,1.071574429260563566e+00,8.533171370415255641e-01
3.385472011497623779e+00,9.146973847234655119e-01,1.048165697110943873e+00,8.581993217108314642e-01
3.238977753499511891e+00,9.212452091720535474e-01,1.029126817483202450e+00,8.623927250968950187e-01
3.120394824737120487e+00,9.273105974264380658e-01,1.013806258994673692e+00,8.659782555729965692e-01
3.024864282142495586e+00,9.329260180793796930e-01,1.001633929102861753e+00,8.690319831164237119e-01
2.948382474544460674e+00,9.381222332182205248e-01,9.921134217991158799e-01,8.716241112946262470e-01
2.887646557190948648e+00,9.429283088413643599e-01,9.848144755710241949e-01,8.738184795267796012e-01
2.839928586463420057e+00,9.473716415204199714e-01,9.793657419316964541e-01,8.756724792297441162e-01
2.802973302860749083e+00,9.514779978673594263e-01,9.754479521163108569e-01,8.772372724387346166e-01
2.774915357507151459e+00,9.552715638701980705e-01,9.727875466940321125e-01,8.785582170587939999e-01
